l1 ratio,number of cluster,error per cluster (eV)
0.0,12.0,0.2497800893566016
0.01,12.0,0.32877054244958454
0.05,10.0,0.26072835157482277
0.1,10.0,0.25404614832013406
0.15,10.0,0.2522453524366475
0.2,10.0,0.2526618024885187
0.25,10.0,0.2533684571356596
0.3,10.0,0.2540927667001344
0.35,10.0,0.2548050158012284
0.4,10.0,0.2554636970142538
0.45,10.0,0.25609183160950383
0.5,10.0,0.2566576979441204
0.55,10.0,0.2571654365739821
0.6,10.0,0.2576520181703905
0.65,9.0,0.25806286429150643
0.7,9.0,0.25845153661861214
0.75,9.0,0.25843785512549455
0.8,8.0,0.2579277157709585
0.85,8.0,0.2575532093439167
0.9,8.0,0.2571727531381537
0.95,8.0,0.2567827942591707
