,Descriptors,DSL,LASSO,Enet,Ridge,GP,OLS
72,Ec_lnEbind_-0.5,0.0,0.0,0.0,0.17,0.0,2448459220419.442
73,Ec_lnEbind_2,0.0,0.0,0.0,0.109,0.0,-323617496304.927
74,Ec_lnEbind_-2,0.0,-0.0,-0.0,-0.106,0.0,1787084154151.191
75,Ec_lnEbind_ln,0.0,-0.0,-0.0,-0.155,0.0,-1241992791377.99
76,Ebind_1Ebind_0.5,0.0,0.0,0.0,0.12,0.0,3615038264815.78
77,Ebind_1Ebind_2,0.0,0.354,0.227,-0.267,0.0,15673949331.693
78,Ebind_1Ebind_ln,0.0,0.0,0.0,0.12,0.0,-291644570964.4
79,Ebind_-1Ebind_-0.5,0.0,0.0,0.0,-0.12,0.0,713039554826.452
80,Ebind_-1Ebind_-2,0.0,-0.0,-0.0,0.183,0.0,13045162469.379
81,Ebind_-1Ebind_ln,0.0,0.0,0.0,0.327,0.0,348851204695.88
82,Ebind_0.5Ebind_2,0.0,0.0,0.06,0.054,0.0,-297513835189.202
83,Ebind_0.5Ebind_ln,0.0,-0.0,-0.0,-0.081,0.0,-3198738872078.869
84,Ebind_-0.5Ebind_-2,0.0,-0.0,-0.0,0.04,0.0,-142665276774.02
85,Ebind_-0.5Ebind_ln,0.0,-0.0,-0.0,0.101,0.0,-1427345878433.813
86,Ebind_2Ebind_ln,0.0,0.0,0.045,0.143,0.0,1227731458857.482
87,Ebind_-2Ebind_ln,0.0,0.035,0.038,-0.202,0.0,-108565163135.559
