,USM,USM,LASSO,LASSO,Elastic Net,Elastic Net,Ridge,Ridge,OLS,OLS
0,1.1635255047311817,-0.20997745201876894,1.1612941022937637,0.33270482856721373,1.1539465371117545,0.04242662398290831,1.16030095487838,0.33171168115183003,1.1629330001733622,-1.009563770748627
1,0.0,0.0,-0.14683296747682764,-0.08777191983630073,-0.1800902902671418,-0.10765205384218807,-0.3029550451141189,-0.18109656428455517,1.41751116261119,0.8473415627958737
2,0.0,0.0,-0.45685304917805875,-0.29384802563753276,-0.12131139785835293,-0.07802752944768623,-0.19913104275965665,-0.12808114964613546,-6.801225767915439,-4.374550563715593
3,0.0,0.0,-0.0,-0.0,-0.04049121537424837,-0.1630484830560282,-0.15476256754301945,-0.6231920093906007,2.2465559946342957,9.046346068893419
4,0.0,0.0,0.0,0.0,0.07809792886674079,0.06615195963224478,0.14450220917761658,0.12239894766734045,-0.3250119629502183,-0.2752976751760655
5,0.0,0.0,0.0,0.0,-0.0,-0.0,0.038581618064750745,0.0019608223664094333,-1.6069343148922552,-0.08166875584905331
6,0.0,0.0,-0.0,-0.0,0.0,0.0,0.06770564578417952,0.005340575691245771,4.442064808899871,0.35038707721612533
7,0.0,0.0,0.19869657883255476,0.027966794538914246,0.16089943218902628,0.022646798389269508,0.22993150573779336,0.03236314996853119,0.23395648383269674,0.032929670721254634
8,0.0,0.0,0.8083709792779233,0.0742595814682065,0.6445134902495775,0.059207100778529545,0.6633742022665164,0.06093970699086702,-2.4399875691224175,-0.22414517630569486
9,1.0463918523675801,0.6284760365964189,0.6052078498271936,0.3634954055842759,0.47944277107001776,0.28795932599735197,0.5540436859456411,0.3327655687078779,6.395797305718959,3.8413958714199596
10,0.0,0.0,0.20862449358285867,0.6720553321075119,0.2609191625434231,0.8405154707622579,0.34022221199944264,1.0959794209629865,-2.3746338073185593,-7.649558710024466
11,0.0,0.0,-0.10418463413122432,-0.013634976646287645,-0.09865187176662811,-0.01291088632087833,-0.22294207805205632,-0.029177143568847923,0.039207806044334825,0.005131251112264175
